title,price,year,description,region
"Chevrolet Cobalt, 4 pozitsiya","~11 091 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Jizzax
"Chevrolet Gentra, 3 pozitsiya","~13 479 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Yukxona, Tumanga qarshi chiroqlar…
                            ",Quva tumani
"Chevrolet Cobalt, 4 pozitsiya","~11 089 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Buxoro
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Namangan
"Chevrolet Captiva, 4 pozitsiya","17 000 у.е.
                            ","
                                                    2011 yil,
                        ","
                                        2.4 l, Benzin, Krossover, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqlar, Oy…
                            ",Nurafshon
"Chevrolet Cobalt, 4 pozitsiya","~11 089 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Navoiy
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Toshkent
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Urganch
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Termiz
"Chevrolet Cobalt, 4 pozitsiya","~11 090 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.5 l, Benzin, Sedan, Uzatish qutisi Avtomat, Biz sizlarga Avtokredit Xizmatimizni Taklif Qilamiz! Kredit muddati 1 yi…
                            ",Termiz
"Chevrolet Lacetti, 3 pozitsiya","19 200 у.е.
                            ","
                                                    2023 yil,
                        ","
                                        1.6 l, Benzin, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oyna isitgich…
                            ",Navoiy
"Chevrolet Matiz, 1 pozitsiya","~7 543 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Imogo LEND компанияси мижозларга кулай шароитларда лизинг асосида м…
                            ",Toshkent
"Chevrolet Matiz, 1 pozitsiya","~6 940 у.е.
                            ","
                                                    2018 yil,
                        ","
                                        0.8 l, Benzin, Hatchback, Uzatish qutisi Mexanika, Imogo LEND компанияси мижозларга кулай шароитларда лизинг асосида м…
                            ",Toshkent
